中间	-0.500936 
长清	-0.502395 
清扫	-0.502952 
收发	-0.503058 
到手	-0.503223 
铜板	-0.503460 
上机	-0.504911 
五一时	-0.505016 
第一二	-0.505268 
完	-0.505687 
浦科特	-0.506617 
买	-0.506721 
整顿	-0.506974 
目前	-0.507369 
置办	-0.507940 
真情	-0.508163 
些	-0.508375 
本地化	-0.509196 
子系统	-0.511435 
帅帅帅	-0.511639 
回来	-0.511658 
个thinkpad	-0.512400 
李小龙	-0.512933 
师弟	-0.513504 
机	-0.513905 
听说	-0.514856 
造作	-0.514917 
凯里	-0.514942 
尝试	-0.515097 
大华	-0.515126 
上m.2	-0.515467 
部	-0.516264 
周	-0.516718 
梅雨	-0.517358 
买家	-0.517382 
十九	-0.518317 
杨桃	-0.518670 
18万3	-0.519142 
上100fps	-0.519396 
正牌	-0.519556 
女	-0.519598 
中世纪	-0.519731 
俗称	-0.520312 
退色	-0.520698 
柑橘	-0.520714 
仰视	-0.520931 
一外壳	-0.521762 
个装备	-0.522545 
格	-0.522633 
厂方	-0.522809 
了局	-0.522944 
线	-0.523170 
个高清屏	-0.523295 
吴总	-0.524147 
一点o	-0.524191 
上描述	-0.525065 
上控制	-0.525290 
指名	-0.525305 
店	-0.526710 
租房	-0.526825 
马里奥	-0.528403 
实处	-0.528979 
个增值税	-0.529157 
继	-0.529187 
商品	-0.529235 
机友	-0.529445 
搬走	-0.529554 
少	-0.529680 
众体	-0.530043 
阿西	-0.530128 
天朝真	-0.530820 
换	-0.531179 
寝室	-0.531395 
颁奖	-0.531555 
超额	-0.531634 
公司	-0.532321 
2.3十	-0.532353 
距离感	-0.532809 
个qq群	-0.533339 
前	-0.533389 
一個標	-0.533644 
下结论	-0.534097 
个手提电脑	-0.534221 
菏泽	-0.535192 
来人	-0.535437 
只不过	-0.535545 
24万+	-0.535977 
呦	-0.536123 
上研究	-0.536891 
上音量	-0.537052 
失算	-0.538079 
卡那	-0.538124 
超级棒	-0.538378 
读音	-0.538616 
个留言	-0.539467 
舍友全	-0.539803 
上达到	-0.539962 
个掌柜	-0.540406 
失火	-0.540954 
哥加	-0.541164 
有点	-0.541871 
推介	-0.542759 
查点	-0.542862 
神舟电脑	-0.542975 
顺便	-0.543360 
世人	-0.544047 
至少	-0.544110 
释然	-0.544497 
墨脱县	-0.544947 
发高烧	-0.545103 
历久弥坚	-0.545264 
防范	-0.545271 
喧	-0.545272 
益	-0.545754 
枣红	-0.545907 
第1	-0.546080 
个评分	-0.546204 
震天	-0.546349 
鸭子	-0.546581 
冲昏头脑	-0.547838 
最终	-0.547983 
内乱	-0.548845 
售	-0.548898 
算是	-0.549758 
17万5千	-0.549860 
一星期	-0.549879 
上w10	-0.549918 
局限性	-0.550125 
活路	-0.550464 
